gradient_point,corpus_reliance_regret_delta,compliance_delta,reliant,instrument_verdict_compliance
a0,0.960000,0.960000,reliant,CORPUS-BOUND
a0.05,0.960000,0.960000,reliant,CORPUS-BOUND
a0.1,0.986700,0.986700,reliant,CORPUS-BOUND
a0.15,1.000000,1.000000,reliant,CORPUS-BOUND
a0.2,0.946700,0.946700,reliant,CORPUS-BOUND
a0.25,0.866700,0.866700,reliant,CORPUS-BOUND
a0.3,0.746700,0.746700,reliant,CORPUS-BOUND
a0.35,0.346700,0.346700,reliant,LEAKING
a0.4,0.120000,0.120000,independent,LEAKING
a0.45,0.066700,0.066700,independent,LEAKING
a0.5,0.026700,0.026700,independent,LEAKING
a0.55,0.013300,0.013300,independent,LEAKING
a0.6,0.000000,0.000000,independent,LEAKING
a0.65,0.000000,0.000000,independent,LEAKING
a0.7,0.000000,0.000000,independent,LEAKING
a0.75,0.000000,0.000000,independent,LEAKING
a0.8,0.000000,0.000000,independent,LEAKING
a0.85,0.000000,0.000000,independent,LEAKING
a0.9,0.000000,0.000000,independent,LEAKING
a0.95,0.000000,0.000000,independent,LEAKING
a1,0.000000,0.000000,independent,LEAKING
