gradient_point,corpus_reliance_regret_delta,compliance_delta,reliant,instrument_verdict_compliance
a0,1.000000,1.000000,reliant,CORPUS-BOUND
a0.05,1.000000,1.000000,reliant,CORPUS-BOUND
a0.1,1.000000,1.000000,reliant,CORPUS-BOUND
a0.15,1.000000,1.000000,reliant,CORPUS-BOUND
a0.2,1.000000,1.000000,reliant,CORPUS-BOUND
a0.25,1.000000,1.000000,reliant,CORPUS-BOUND
a0.3,1.000000,1.000000,reliant,CORPUS-BOUND
a0.35,1.000000,1.000000,reliant,CORPUS-BOUND
a0.4,1.000000,1.000000,reliant,CORPUS-BOUND
a0.45,0.960000,0.960000,reliant,CORPUS-BOUND
a0.5,0.933300,0.933300,reliant,CORPUS-BOUND
a0.55,0.840000,0.840000,reliant,CORPUS-BOUND
a0.6,0.733300,0.733300,reliant,CORPUS-BOUND
a0.65,0.413300,0.413300,reliant,CORPUS-BOUND
a0.7,0.213300,0.213300,reliant,LEAKING
a0.75,0.080000,0.080000,independent,LEAKING
a0.8,0.053300,0.053300,independent,LEAKING
a0.85,0.040000,0.040000,independent,LEAKING
a0.9,0.040000,0.040000,independent,LEAKING
a0.95,0.000000,0.000000,independent,LEAKING
a1,0.000000,0.000000,independent,LEAKING
