gradient_point,corpus_reliance_regret_delta,compliance_delta,reliant,instrument_verdict_compliance
a0,1.000000,1.000000,reliant,CORPUS-BOUND
a0.05,1.000000,1.000000,reliant,CORPUS-BOUND
a0.1,1.000000,1.000000,reliant,CORPUS-BOUND
a0.15,1.000000,1.000000,reliant,CORPUS-BOUND
a0.2,0.986700,0.986700,reliant,CORPUS-BOUND
a0.25,0.986700,0.986700,reliant,CORPUS-BOUND
a0.3,0.933300,0.933300,reliant,CORPUS-BOUND
a0.35,0.893300,0.893300,reliant,CORPUS-BOUND
a0.4,0.733300,0.733300,reliant,CORPUS-BOUND
a0.45,0.480000,0.480000,reliant,CORPUS-BOUND
a0.5,0.373300,0.373300,reliant,CORPUS-BOUND
a0.55,0.240000,0.240000,reliant,CORPUS-BOUND
a0.6,0.200000,0.200000,reliant,CORPUS-BOUND
a0.65,0.120000,0.120000,independent,INCONCLUSIVE
a0.7,0.066700,0.066700,independent,INCONCLUSIVE
a0.75,0.026700,0.026700,independent,LEAKING
a0.8,0.013300,0.013300,independent,LEAKING
a0.85,0.013300,0.013300,independent,LEAKING
a0.9,0.000000,0.000000,independent,LEAKING
a0.95,0.000000,0.000000,independent,LEAKING
a1,0.026700,0.026700,independent,LEAKING
