gradient_point,corpus_reliance_regret_delta,compliance_delta,reliant,instrument_verdict_compliance
a0,1.000000,1.000000,reliant,CORPUS-BOUND
a0.05,1.000000,1.000000,reliant,CORPUS-BOUND
a0.1,1.000000,1.000000,reliant,CORPUS-BOUND
a0.15,1.000000,1.000000,reliant,CORPUS-BOUND
a0.2,1.000000,1.000000,reliant,CORPUS-BOUND
a0.25,1.000000,1.000000,reliant,CORPUS-BOUND
a0.3,1.000000,1.000000,reliant,CORPUS-BOUND
a0.35,1.000000,1.000000,reliant,CORPUS-BOUND
a0.4,1.000000,1.000000,reliant,CORPUS-BOUND
a0.45,1.000000,1.000000,reliant,CORPUS-BOUND
a0.5,0.933300,0.933300,reliant,CORPUS-BOUND
a0.55,0.746700,0.746700,reliant,CORPUS-BOUND
a0.6,0.600000,0.600000,reliant,CORPUS-BOUND
a0.65,0.466700,0.466700,reliant,CORPUS-BOUND
a0.7,0.280000,0.280000,reliant,LEAKING
a0.75,0.200000,0.200000,reliant,LEAKING
a0.8,0.066700,0.066700,independent,LEAKING
a0.85,0.026700,0.026700,independent,LEAKING
a0.9,0.026700,0.026700,independent,LEAKING
a0.95,0.013300,0.013300,independent,LEAKING
a1,0.026700,0.026700,independent,LEAKING
