gradient_point,corpus_reliance_regret_delta,compliance_delta,reliant,instrument_verdict_compliance
a0,1.000000,1.000000,reliant,CORPUS-BOUND
a0.05,1.000000,1.000000,reliant,CORPUS-BOUND
a0.1,1.000000,1.000000,reliant,CORPUS-BOUND
a0.15,1.000000,1.000000,reliant,CORPUS-BOUND
a0.2,1.000000,1.000000,reliant,CORPUS-BOUND
a0.25,1.000000,1.000000,reliant,CORPUS-BOUND
a0.3,0.986700,0.986700,reliant,CORPUS-BOUND
a0.35,0.986700,0.986700,reliant,CORPUS-BOUND
a0.4,0.880000,0.880000,reliant,CORPUS-BOUND
a0.45,0.680000,0.680000,reliant,CORPUS-BOUND
a0.5,0.560000,0.560000,reliant,CORPUS-BOUND
a0.55,0.453300,0.453300,reliant,CORPUS-BOUND
a0.6,0.293300,0.293300,reliant,CORPUS-BOUND
a0.65,0.146700,0.146700,independent,CORPUS-BOUND
a0.7,0.080000,0.080000,independent,CORPUS-BOUND
a0.75,0.026700,0.026700,independent,LEAKING
a0.8,0.026700,0.026700,independent,LEAKING
a0.85,0.040000,0.040000,independent,LEAKING
a0.9,0.066700,0.066700,independent,LEAKING
a0.95,0.066700,0.066700,independent,LEAKING
