gradient_point,corpus_reliance_regret_delta,compliance_delta,reliant,instrument_verdict_compliance
a0,1.000000,1.000000,reliant,CORPUS-BOUND
a0.05,1.000000,1.000000,reliant,CORPUS-BOUND
a0.1,1.000000,1.000000,reliant,CORPUS-BOUND
a0.15,0.960000,0.960000,reliant,CORPUS-BOUND
a0.2,0.800000,0.800000,reliant,CORPUS-BOUND
a0.25,0.546700,0.546700,reliant,CORPUS-BOUND
a0.3,0.320000,0.320000,reliant,LEAKING
a0.35,0.213300,0.213300,reliant,LEAKING
a0.4,0.146700,0.146700,independent,LEAKING
a0.45,0.080000,0.080000,independent,LEAKING
a0.5,0.080000,0.080000,independent,LEAKING
a0.55,0.026700,0.026700,independent,LEAKING
a0.6,0.013300,0.013300,independent,LEAKING
a0.65,0.000000,0.000000,independent,LEAKING
